Timestep ; SegregationEntropy
0 ; 0.2654504818106098
1 ; 0.3543061146833596
2 ; 0.41697822469476953
3 ; 0.4665208842192583
4 ; 0.49622460450038264
5 ; 0.5238896884459132
6 ; 0.539867481349215
7 ; 0.5580235625391012
8 ; 0.5697161972151028
9 ; 0.5833571410151733
10 ; 0.5922169612246011
11 ; 0.5997325075466318
12 ; 0.6062619713048392
13 ; 0.6117049377722255
14 ; 0.6212772738175598
15 ; 0.6261041777072318
16 ; 0.630899293531717
17 ; 0.6348812106546393
18 ; 0.6382881793007019
19 ; 0.6384797263052853
20 ; 0.6407344461694532
21 ; 0.6434461975403374
22 ; 0.6458363108833504
23 ; 0.6488518358349459
24 ; 0.6487548085453805
25 ; 0.6523671790084022
26 ; 0.6532259799354965
27 ; 0.6566665405092369
28 ; 0.658026801104749
29 ; 0.6556313171277599
30 ; 0.655696120147029
31 ; 0.655587916152901
32 ; 0.6561242990915757
33 ; 0.6623135633002002
34 ; 0.666659288155935
35 ; 0.668491888742458
36 ; 0.6732131996441371
37 ; 0.6742576141243595
38 ; 0.6756203834456748
39 ; 0.6754076783093403
40 ; 0.6767730905732682
41 ; 0.6795905205509617
42 ; 0.680779277899195
43 ; 0.6838962348097399
44 ; 0.6826168354945281
45 ; 0.6848339166122626
46 ; 0.6859881764685807
47 ; 0.6870556303573168
48 ; 0.68849000739013
49 ; 0.687167833725473
50 ; 0.6855865860131056
51 ; 0.6870887801725694
52 ; 0.687145673733989
53 ; 0.6865166895656866
54 ; 0.6885048577812929
55 ; 0.6877276853755061
56 ; 0.6865631081308261
57 ; 0.6874118991236038
58 ; 0.6901807074282855
59 ; 0.6889539574749091
60 ; 0.68614102227077
61 ; 0.68756684262199
62 ; 0.6903864296720195
63 ; 0.6917891568019876
64 ; 0.6907015404214467
65 ; 0.6932254303861778
66 ; 0.6923984458915613
67 ; 0.6950680166870372
68 ; 0.6940156423129614
69 ; 0.698128989989265
70 ; 0.6971553405993713
71 ; 0.6979366148970099
